,name,distance,moving_time,total_elevation_gain,workout_type,kudos_count,max_speed,average_heartrate,max_heartrate,pr_count,suffer_score,is_named,local_date,run_per_day,max_run,run_area,average_speed_mpk,datetime,hour,uk_awake,kfold
479,WD,4.0511,20.116666666666667,8.0,0.0,17,4.1,146.6,163.0,0,9.0,1,2020-07-18,4,0,0.0612849589742836,4.966030989272944,2020-07-18 09:39:23,9,1,1
480,"Found a track on route, nice ",15.0369,66.25,125.6,0.0,53,5.4,136.5,157.0,0,18.0,1,2020-08-10,2,1,0.0242551323026418,4.405498281786942,2020-08-10 11:33:56,11,1,1
481,Everyday is a long run day VIII,20.0112,86.18333333333334,204.0,0.0,89,5.8,144.9,167.0,0,40.0,1,2020-03-30,1,1,94.47430506952514,4.306459948320414,2020-03-30 10:06:41,10,1,1
482,8 x 1k/1k avg 3:03/3:39,23.3548,84.18333333333334,31.0,3.0,94,7.9,152.7,182.0,0,77.0,1,2020-03-31,1,1,12.605325036929573,3.60423875432526,2020-03-31 16:04:35,16,1,1
483,Day1,8.0181,35.53333333333333,84.0,0.0,37,5.6,131.8,154.0,0,9.0,1,2020-02-28,1,1,2.060251426883042,4.431268279712842,2020-02-28 16:11:49,16,1,1
484,Sam popped,18.4901,81.35,358.2,0.0,67,6.7,136.2,162.0,1,29.0,1,2020-04-09,1,1,56.5032600206905,4.399683210137276,2020-04-09 16:38:23,16,1,1
485,WD,5.501399999999999,24.1,77.7,0.0,15,4.8,152.5,165.0,0,20.0,1,2020-12-11,4,0,17.085770377889276,4.380026281208935,2020-12-11 15:09:50,15,1,1
486,WD,4.0727,16.666666666666668,19.0,0.0,16,6.7,147.3,169.0,0,9.0,1,2020-08-15,3,0,0.0429630745202302,4.091824208200343,2020-08-15 13:50:04,13,1,1
487,mmm,8.229899999999999,35.38333333333333,9.0,0.0,30,5.0,148.9,166.0,0,26.0,1,2021-02-04,2,0,5.007896106690168,4.298684549909725,2021-02-04 14:12:44,14,1,1
488,Cold ,9.3798,30.03333333333333,2.0,3.0,77,8.3,160.9,190.0,1,40.0,1,2020-03-03,4,1,13.245089940028263,3.201921229586936,2020-03-03 18:48:25,18,1,1
489,Pickup with Euzie ,9.8155,41.73333333333333,66.0,0.0,36,5.2,144.7,159.0,0,20.0,1,2020-03-16,2,0,52.35236494627316,4.251530612244898,2020-03-16 16:04:55,16,1,1
490,Medium rare,12.0076,40.05,63.1,3.0,62,6.9,176.2,201.0,0,101.0,1,2020-06-02,4,1,8.96597493920126,3.335201120672404,2020-06-02 09:38:03,9,1,1
491,Poopy stinky ,13.3681,60.016666666666666,167.0,0.0,35,4.8,133.9,161.0,5,17.0,1,2020-08-27,2,1,7.296341937035322,4.489762931034482,2020-08-27 13:30:15,13,1,1
492,Easy with Samuel,5.060899999999999,22.316666666666663,57.0,0.0,22,5.0,139.0,157.0,0,8.0,1,2019-12-30,2,0,0.0030400315154111,4.408994708994709,2019-12-30 10:10:30,10,1,1
493,Shane is a simp ,16.3428,75.08333333333333,168.0,0.0,45,4.9,148.0,166.0,1,47.0,1,2020-10-19,3,1,8.53405799716711,4.593715545755237,2020-10-19 14:01:22,14,1,1
494,Mountain West Conference Champs - 18th  ,8.0,24.3,0.0,1.0,122,0.0,,,0,,1,2021-03-05,4,1,0.0,3.037361035174048,2021-03-05 18:00:00,18,1,0
495,Morning Run,4.259,20.65,67.0,0.0,16,5.4,156.6,168.0,0,25.0,0,2019-12-21,3,0,0.4747400055293838,4.848996217631656,2019-12-21 10:11:02,10,1,1
496,Pleasant ,10.0084,43.95,24.0,0.0,37,5.7,128.2,141.0,0,9.0,1,2020-03-09,2,0,10.325749462936074,4.391567852437418,2020-03-09 17:26:26,17,1,1
497,Doob,8.106300000000001,34.56666666666667,84.4,0.0,28,6.3,153.7,186.0,0,31.0,1,2021-01-04,2,0,5.520134936887189,4.26349449987209,2021-01-04 16:54:46,16,1,1
498,🥓 time ,13.3681,59.06666666666667,14.9,0.0,48,6.9,131.2,149.0,0,13.0,1,2020-08-23,1,1,0.2674758434295654,4.418345705196183,2020-08-23 14:38:20,14,1,1
499,Boise river only fans edition ,6.4615,27.966666666666665,10.0,0.0,36,5.5,140.8,161.0,1,9.0,1,2020-09-04,2,0,0.2351589500904083,4.327707089067775,2020-09-04 21:39:53,21,0,1
500,"4 x 2:00 T [30s F], 8 x 3:00 [2:00 jog] avg 2:57s",22.2923,86.26666666666667,46.0,3.0,61,8.5,160.9,201.0,0,115.0,1,2020-03-28,1,1,11.347819918228195,3.86951474344091,2020-03-28 11:22:30,11,1,1
501,Findon mileage ,16.1047,69.76666666666667,165.9,0.0,63,5.6,146.5,165.0,0,36.0,1,2021-01-04,2,1,25.749445012479555,4.332206914478815,2021-01-04 10:02:19,10,1,1
502,Afternoon Run,8.0443,34.85,35.0,0.0,1,5.7,146.0,166.0,0,24.0,0,2020-12-23,2,0,12.484400008361265,4.332206914478815,2020-12-23 16:06:46,16,1,1
503,Mileage maketh man,20.0193,93.51666666666668,440.6,0.0,58,6.0,128.9,161.0,2,23.0,1,2020-09-10,2,1,29.91069341078401,4.6709641255605385,2020-09-10 13:19:58,13,1,1
504,Lovely stuff ,7.1646,32.31666666666667,35.0,0.0,24,4.9,126.9,138.0,0,7.0,1,2019-12-13,1,1,0.522134723723866,4.51041948579161,2019-12-13 16:56:00,16,1,1
505,Hill strides ,0.9257,5.566666666666666,24.0,0.0,13,6.5,131.7,144.0,1,1.0,1,2020-01-09,2,0,0.0214299916478921,6.012265512265513,2020-01-09 18:03:02,18,1,1
506,14:39 chip time yesterday lol,11.5505,51.766666666666666,82.0,0.0,74,5.2,138.2,158.0,0,15.0,1,2020-02-14,1,1,41.62925033597276,4.481312180693736,2020-02-14 12:16:06,12,1,1
507,Post rona test ,8.0718,37.35,8.0,0.0,36,5.8,124.3,141.0,0,7.0,1,2021-03-09,2,0,7.218006066977978,4.626873958911716,2021-03-09 15:11:32,15,1,1
508,A fair few gaggles,8.198799999999999,37.06666666666667,7.0,0.0,27,6.2,134.1,155.0,0,10.0,1,2020-10-02,4,0,3.7640566006302834,4.520206129644698,2020-10-02 14:36:00,14,1,1
509,WU,3.4399,15.033333333333331,10.0,0.0,7,4.6,127.7,152.0,0,3.0,1,2020-01-07,4,0,1.3507899893738795,4.369690613529103,2020-01-07 18:27:09,18,1,1
510,"Lovely day, for a fish 🤪",20.6928,90.81666666666666,110.0,0.0,60,5.9,151.4,189.0,0,74.0,1,2020-11-26,1,1,105.35037145018578,4.388098999473407,2020-11-26 14:14:52,14,1,1
511,Go with the flow,16.484599999999997,72.36666666666666,17.0,0.0,37,6.3,134.7,147.0,0,17.0,1,2020-10-14,2,1,3.635999746620655,4.389254674743218,2020-10-14 13:30:05,13,1,1
512,Strides ,1.6474000000000002,7.016666666666667,0.0,0.0,11,7.3,152.3,168.0,0,6.0,1,2020-11-30,3,0,0.0481348251923918,4.259136212624585,2020-11-30 21:57:54,21,0,1
513,Next level hype ,5.2488,23.016666666666666,20.0,0.0,41,8.3,129.0,146.0,0,5.0,1,2020-01-31,2,1,2.0172949007246643,4.384635622204683,2020-01-31 16:54:28,16,1,1
514,“Might have to do a tactical unload” - Samuel,10.0105,43.13333333333333,38.0,0.0,43,5.4,141.6,159.0,0,15.0,1,2020-05-13,1,1,29.36443493126717,4.308686659772492,2020-05-13 15:32:39,15,1,1
515,WD,3.5385,17.316666666666666,10.0,0.0,11,4.7,138.3,157.0,0,5.0,1,2020-02-25,3,0,2.0393452359712683,4.893129770992366,2020-02-25 19:52:36,19,1,1
516,Some meadows ,8.7679,39.3,14.0,0.0,23,5.2,128.7,144.0,1,8.0,1,2020-02-19,1,1,7.483709123334847,4.4825174825174825,2020-02-19 17:56:37,17,1,1
517,8 by K,9.7669,40.0,5.0,3.0,50,7.0,148.9,171.0,0,24.0,1,2021-01-19,4,1,4.267366603016853,4.094840294840295,2021-01-19 21:49:47,21,0,1
518,"Well, it’s certainly not cold",13.1748,56.66666666666666,175.1,0.0,52,6.5,,,0,,1,2020-05-31,1,1,52.25856489232683,4.300903225806452,2020-05-31 09:42:15,9,1,1
519,Strides ,1.2902,6.233333333333333,2.0,0.0,11,8.0,162.8,176.0,0,9.0,1,2020-02-18,4,0,0.0252197423833422,4.83072463768116,2020-02-18 17:36:43,17,1,1
520,8 mile progression ,12.8784,40.95,20.0,3.0,64,7.4,149.8,172.0,0,31.0,1,2020-10-23,4,1,0.4530418664216995,3.179320869896986,2020-10-23 21:45:33,21,0,1
521,BUCS XC - 12th,10.1666,33.38333333333333,42.0,1.0,171,7.0,182.3,198.0,0,100.0,1,2020-02-01,4,1,4.268393968231976,3.283293932230103,2020-02-01 14:13:45,14,1,2
522,17 miles bagged,4.0264,17.85,12.0,0.0,19,5.0,152.6,166.0,0,16.0,1,2020-06-27,4,0,0.2319499799341429,4.433625964352221,2020-06-27 11:12:09,11,1,2
523,It’s taper time baby ,13.5306,60.0,148.0,0.0,53,9.5,151.1,171.0,5,52.0,1,2020-01-26,1,1,123.61787994450424,4.433625964352221,2020-01-26 08:48:52,8,1,1
524,Kath Albs ,8.0755,36.15,10.0,0.0,29,5.4,133.4,149.0,0,8.0,1,2021-02-05,4,0,4.080007784068584,4.476497448294387,2021-02-05 15:08:27,15,1,2
525,"It’s been a long day, and it’s only 2",18.9864,79.5,95.0,0.0,61,8.1,152.4,166.0,1,73.0,1,2020-01-12,1,1,60.53016986697912,4.187437185929649,2020-01-12 12:45:02,12,1,1
526,Ouchie calves ,14.5751,65.95,211.6,0.0,53,6.5,132.9,163.0,2,19.0,1,2020-09-09,2,1,39.96382001787424,4.525115395058377,2020-09-09 15:51:34,15,1,1
527,Dirty ,16.1714,65.2,14.0,0.0,50,6.7,143.9,158.0,5,28.0,1,2021-03-07,1,1,80.62614360824227,4.031446540880503,2021-03-07 16:00:37,16,1,1
528,Moist ,9.816,40.9,30.0,0.0,51,5.4,148.7,165.0,1,26.0,1,2020-05-03,1,1,2.329025028302567,4.1665,2020-05-03 08:49:53,8,1,1
529,"Post gym, feeling buff ",8.8554,37.16666666666666,24.0,0.0,40,6.6,148.0,170.0,0,24.0,1,2020-02-05,2,1,12.88388011744246,4.196927726013598,2020-02-05 06:49:24,6,1,1
530,WD on turf ,3.1094,14.3,34.0,0.0,9,4.7,157.9,173.0,0,18.0,1,2020-09-18,4,0,0.6604648660868406,4.59878587196468,2020-09-18 14:39:42,14,1,1
531,The holy grail of loops ,16.319,74.16666666666667,187.5,0.0,56,9.4,136.3,163.0,1,26.0,1,2020-11-02,3,1,8.72820382937789,4.54485955822198,2020-11-02 14:59:53,14,1,1
532,Dusk ,10.1753,43.1,59.0,0.0,38,7.0,146.7,178.0,3,30.0,1,2020-03-04,1,1,68.55401952634566,4.235324015247777,2020-03-04 17:56:38,17,1,1
533,WD,3.6086,18.53333333333333,11.0,0.0,12,4.7,147.7,162.0,0,11.0,1,2020-03-07,4,0,0.562879949939088,5.135901386748844,2020-03-07 15:49:51,15,1,1
534,Roaster ,12.0233,51.66666666666666,178.1,0.0,47,5.6,147.2,168.0,0,35.0,1,2020-05-20,1,1,34.52885498518299,4.297576070139247,2020-05-20 15:15:12,15,1,1
535,Needed a poo for 7.9k ,8.0334,33.733333333333334,52.0,0.0,55,4.9,148.5,166.0,1,20.0,1,2020-12-26,4,0,16.5168250532588,4.199042579994961,2020-12-26 16:46:46,16,1,1
536,Strides ,1.4338,7.0,3.0,0.0,10,7.2,154.5,165.0,0,7.0,1,2020-05-26,4,0,0.0155350107888807,4.88166373755126,2020-05-26 17:43:12,17,1,1
537,WU,2.39,10.316666666666666,21.0,0.0,13,5.0,142.7,157.0,0,4.0,1,2020-05-23,4,0,1.7402200342075955,4.316498316498317,2020-05-23 17:01:03,17,1,1
538,Unexpected seggies are the dogs bollocks ,20.6613,90.0,279.8,0.0,72,5.5,155.9,175.0,2,103.0,1,2021-02-04,2,1,5.290331318974495,4.355985363303711,2021-02-04 22:04:38,22,0,1
539,Lunch Run,4.1143,18.416666666666668,18.0,0.0,18,4.4,132.9,147.0,0,4.0,0,2020-01-10,1,1,7.457940000676899,4.476497448294387,2020-01-10 11:31:13,11,1,1
540,Rehab1,3.5,15.0,0.0,0.0,30,0.0,,,0,,1,2020-04-27,1,1,0.0,4.285420416559528,2020-04-27 18:06:28,18,1,2
541,Too many beans ,9.6756,40.333333333333336,104.7,0.0,42,5.6,150.7,174.0,0,43.0,1,2020-07-31,1,1,0.6327800520011806,4.168584292146073,2020-07-31 08:34:01,8,1,2
542,WD,3.3181,16.216666666666665,34.0,0.0,11,4.7,146.2,164.0,0,7.0,1,2020-01-04,4,0,0.0291900505544617,4.8873900293255135,2020-01-04 14:21:31,14,1,1
543,WD,4.801399999999999,24.066666666666663,26.0,0.0,7,3.9,143.0,148.0,0,6.0,1,2020-10-09,4,0,4.356977296993136,5.012330827067669,2020-10-09 22:13:11,22,0,1
